Day,Project,Duration,Type,Task Title,Start Date,End Date,Application
2018/09/01,(No Project),1m 47s,App Usage,,,,App Store
2018/09/02,Web Browsing,18m 48s,App Usage,,,,Google Chrome
2018/09/02,Education & Research,3m 26s,App Usage,,,,Google Chrome
2018/09/04,Web Browsing,1h 58s,App Usage,,,,Google Chrome
2018/09/04,Office & Business,5m 32s,App Usage,,,,Spark
2018/09/04,Media,4m 41s,App Usage,,,,Google Chrome
2018/09/04,Reading & Writing,4m 16s,App Usage,,,,Microsoft OneNote
2018/09/04,Development,3m 14s,App Usage,,,,Google Chrome
2018/09/04,System Settings,1m 47s,App Usage,,,,CleanMyMac X
2018/09/04,File Management,1m 37s,App Usage,,,,Finder
2018/09/04,Social Media,1m 30s,App Usage,,,,WeChat
2018/09/04,Shopping & Travel,1m 10s,App Usage,,,,Google Chrome
2018/09/05,Web Browsing,57m 24s,App Usage,,,,Google Chrome
2018/09/05,(No Project),8m 18s,App Usage,,,,Microsoft OneNote
2018/09/05,(No Project),4m 34s,App Usage,,,,CleanMyMac X
2018/09/05,(No Project),3m 2s,App Usage,,,,Trello
2018/09/05,(No Project),2m 54s,App Usage,,,,Fantastical
2018/09/05,(No Project),2m 17s,App Usage,,,,Setapp
2018/09/05,(No Project),2m 9s,App Usage,,,,Journey
2018/09/05,Social Media,9m 27s,App Usage,,,,Maipo
2018/09/05,Social Media,4m 59s,App Usage,,,,WeChat
2018/09/05,Office & Business,6m 39s,App Usage,,,,Spark
2018/09/05,File Management,1m 24s,App Usage,,,,Finder
2018/09/06,Web Browsing,2h 19m 11s,App Usage,,,,Google Chrome
2018/09/06,Web Browsing,1m 45s,App Usage,,,,Safari
2018/09/06,Office & Business,20m 18s,App Usage,,,,Spark
2018/09/06,Office & Business,20m 12s,App Usage,,,,Microsoft PowerPoint
2018/09/06,Social Media,25m 29s,App Usage,,,,WeChat
2018/09/06,Social Media,3m 25s,App Usage,,,,Maipo
2018/09/06,(No Project),10m 39s,App Usage,,,,NeteaseMusic
2018/09/06,(No Project),4m 28s,App Usage,,,,Microsoft OneNote
2018/09/06,(No Project),3m 10s,App Usage,,,,Reminders
2018/09/06,(No Project),2m 41s,App Usage,,,,Acrobat Pro DC
2018/09/06,Development,5m 32s,App Usage,,,,Code
2018/09/06,File Management,3m 25s,App Usage,,,,Finder
2018/09/07,Web Browsing,35m 49s,App Usage,,,,Google Chrome
2018/09/07,Social Media,16m 11s,App Usage,,,,WeChat
2018/09/07,(No Project),1m 12s,App Usage,,,,Mosaic
2018/09/07,(No Project),1m 9s,App Usage,,,,NeteaseMusic
2018/09/07,(No Project),1m 6s,App Usage,,,,System Preferences
2018/09/07,Office & Business,2m 18s,App Usage,,,,Spark
2018/09/07,Development,1m 28s,App Usage,,,,Code
2018/09/10,Web Browsing,1h 28m 55s,App Usage,,,,Google Chrome
2018/09/10,(No Project),27m 55s,App Usage,,,,Microsoft OneNote
2018/09/10,(No Project),3m 29s,App Usage,,,,Fantastical
2018/09/10,(No Project),1m 1s,App Usage,,,,Reminders
2018/09/10,Development,28m 42s,App Usage,,,,Code
2018/09/10,Office & Business,12m 10s,App Usage,,,,Spark
2018/09/10,Social Media,4m 18s,App Usage,,,,WeChat
2018/09/10,Graphics & Video,3m 19s,App Usage,,,,Photoshop CC
2018/09/10,File Management,2m 46s,App Usage,,,,Finder
2018/09/11,Web Browsing,3h 37m 35s,App Usage,,,,Google Chrome
2018/09/11,Development,49m 46s,App Usage,,,,Code
2018/09/11,Gaming,46m 28s,App Usage,,,,SlayTheSpire
2018/09/11,Gaming,2m 54s,App Usage,,,,Steam
2018/09/11,(No Project),19m 50s,App Usage,,,,Notion
2018/09/11,(No Project),2m 19s,App Usage,,,,Notes
2018/09/11,(No Project),2m 16s,App Usage,,,,Reminders
2018/09/11,(No Project),1m 57s,App Usage,,,,Trello
2018/09/11,(No Project),1m 48s,App Usage,,,,NeteaseMusic
2018/09/11,Office & Business,31m 17s,App Usage,,,,Spark
2018/09/11,Social Media,14m 43s,App Usage,,,,WeChat
